Continent,Country Overall,Rank,Country math,Country Science,Country Reading,Average Score,Math Score,Science Score,Reading Score,Sets Clear Goals,Encourages Thinking,Summarizes Lessons,Reflect Problems,Wait Until its Quiet,Homework Not Back in Time,Opportunity to Express Opinions,Teachers Are Interested,Latitude,Longitude,GDP per capita
Europe,Russian Federation,37,Russian Federation,Sweden,Iceland,483,484,486,479,85.95,71.57,76.89,69.31,45.75,41.09,78.04,68.8,61.52401,105.318756,14079
Europe,Croatia,38,Sweden,Denmark,Russian Federation,482,470,491,485,79.99,57.73,65.96,66.3,52.67,41.71,76.17,72.93,45.1,15.2,13236
Europe,Slovenia,39,Lithuania,Iceland,Lithuania,481,485,496,462,73.42,70.52,63.38,67.29,52.21,44.11,75.12,66.75,46.151241,14.995463,22478
Middle East & Africa,Israel,40,Croatia,Slovak Republic,Greece,478,469,474,492,76.23,74.07,58.61,74.47,47.24,44.19,76.69,75.57,31.046051,34.851612,32819
Europe,Slovak Republic,41,Israel,Israel,Turkey,477,486,477,469,74.56,58.85,60.78,68.52,52.93,49.61,73.49,72.03,48.669026,19.699024,17208
Europe,Greece,42,Greece,Greece,Slovak Republic,467,454,468,478,77.83,68.54,61.5,74.33,53.96,57.18,78.7,73.28,39.074208,21.824312,22243
Europe,Turkey,43,Turkey,Chile,Slovenia,463,449,464,476,73.95,79,68.22,65.62,51.51,60.38,80.48,74.84,38.963745,35.243322,10647
America,Chile,44,Serbia,Turkey,Chile,457,445,465,460,81.67,63.92,64.73,71.82,57.93,50.81,77.74,79.12,-35.675147,-71.542969,15254
Asia,Thailand,45,Romania,Thailand,Thailand,451,442,457,453,82.32,72.85,76.53,63.64,51.02,44.67,84.3,78.78,15.870032,100.992541,5918
Europe,Serbia,46,Chile,Bulgaria,Serbia,446,448,444,446,78.95,63.53,70.3,66.61,52.5,64.9,77.27,74.53,44.016521,21.005859,5660
Europe,Bulgaria,47,Bulgaria,United Arab Emirates,Bulgaria,446,443,451,443,81.06,69.56,75.58,81.31,52.01,57.52,81.1,76.01,42.733883,25.48583,7334
Europe,Romania,48,Thailand,Serbia,Costa Rica,442,446,440,440,79.39,65.53,68.15,73.27,49.08,69.55,79.52,81.02,45.943161,24.96676,8578
Middle East & Africa,United Arab Emirates,49,United Arab Emirates,Romania,Romania,439,432,446,438,80.7,69.89,73.28,74.94,53.15,47.99,78.12,79.35,23.424076,53.847818,41713
America,Costa Rica,50,Kazakhstan,Costa Rica,United Arab Emirates,426,407,430,441,80.05,60.83,61.88,63.62,48.06,42.75,80.23,82.24,9.748917,-83.753428,9734
America,Mexico,51,Malaysia,Kazakhstan,Mexico,423,419,420,430,81.57,69.05,66.1,72.22,46.25,46.39,83.38,81.6,23.634501,-102.552784,9704
Asia,Kazakhstan,52,Mexico,Malaysia,Montenegro,418,432,427,395,85.04,76.76,83.17,76.47,39.39,52.97,85.63,85.63,48.019573,66.923684,12121
Asia,Malaysia,53,Uruguay,Mexico,Colombia,415,423,422,401,77,57.15,70.73,69.38,54.13,48.93,79.97,79.32,4.210484,101.975766,10835
America,Uruguay,54,Costa Rica,Uruguay,Uruguay,415,411,419,414,76.86,63.47,67.52,72.61,58.86,50.6,81.19,77.86,-32.522779,-55.765835,15128
Europe,Montenegro,55,Montenegro,Argentina,Argentina,412,407,409,420,82.52,70.7,62.39,64.29,47.75,63.25,78.31,76.83,42.708678,19.37439,6587
America,Argentina,56,Argentina,Montenegro,Tunisia,404,396,411,404,77.82,64.03,64.94,70.92,60.79,49.46,78.17,74.88,-38.416097,-63.616672,14358
America,Colombia,57,Albania,Colombia,Malaysia,404,387,409,415,79.01,71.05,67.27,71.32,49.72,62.69,82.22,81.92,4.570868,-74.297333,7886
Europe,Albania,58,Tunisia,Jordan,Brazil,398,396,400,397,87.19,80.56,80.06,78.12,43.16,69.72,87.15,83.27,41.153332,20.168331,4248
Middle East & Africa,Tunisia,59,Colombia,Albania,Indonesia,397,388,398,404,78.04,65.61,68.03,66.11,57.1,65.66,78.19,69.44,33.886917,9.537499,4188
Middle East & Africa,Jordan,60,Jordan,Tunisia,Albania,395,383,405,396,82.61,74.68,77.3,81.03,56.32,61.35,81.7,73.8,30.585164,36.238414,4897
America,Brazil,61,Brazil,Brazil,Jordan,393,383,396,401,80.89,69.4,64.17,72.5,56.18,48.53,80.08,77.79,-14.235004,-51.92528,12158
Asia,Indonesia,62,Qatar,Qatar,Kazakhstan,386,377,383,398,78.09,71.13,72.76,77.73,50.97,57.15,84.37,81.79,-0.789275,113.921327,3701
Middle East & Africa,Qatar,63,Indonesia,Indonesia,Qatar,383,377,384,388,82.42,71.64,70.98,76.76,59.4,56.4,75.39,76.59,25.354826,51.183884,94408
America,Peru,64,Peru,Peru,Peru,376,368,374,385,79.89,68.3,65.34,74.72,45.91,67.84,82.87,81.1,-9.189967,-75.015152,6389
,,65,,,,350,350,350,350,100,100,100,100,100,100,100,100,100,100,100
,,66,,,,650,650,650,650,100,100,100,100,100,100,100,100,100,100,100
