Country,Continent,Color,Rank,Average Score,Math Score,Science Score,Reading Score,Sets Clear Goals,Encourages Thinking,Summarizes Lessons,Reflect Problems,Wait Until its Quiet,Homework Not Back in Time,Opportunity to Express Opinions,Teachers Are Interested,Latitude,Longitude,GDP per capita
Ireland,Europe,3,21,516,501,522,524,66.86,66.1,50.99,74,47.89,45.52,71.66,75.81,53.41291,-8.24389,48977
France,Europe,3,22,504,500,503,510,68.82,64.07,62.56,68.98,57.04,52.31,69.83,70.42,46.227638,2.213749,40851
Latvia,Europe,3,23,500,496,507,496,76.15,73.29,59.63,74.73,49.55,48.64,78.04,80.11,56.879635,24.603189,13776
Spain,Europe,3,24,498,496,505,494,74.67,59.56,54.72,67.21,53.46,41.1,73.06,73.29,40.463667,-3.74922,28648
Iceland,Europe,3,25,485,494,479,483,78.35,57.35,50.7,64.1,50.39,48.1,77.91,76.55,64.963051,-19.020835,44259
Australia,Oceania,5,26,502,493,512,501,71.73,65.3,58.47,68.81,54.53,48.56,73.92,76.46,-25.274398,133.775136,67647
Italy,Europe,3,27,496,492,501,496,71.31,60.92,54.18,66.82,51.69,43.13,75.94,70.69,41.87194,12.56738,34845
Luxembourg,Europe,3,28,490,491,492,488,66.26,67.17,53.73,63.71,51.52,45.4,68.64,69.03,49.815273,6.129583,105448
United Kingdom,Europe,3,29,500,490,511,499,73.74,64.6,57.99,71.15,49.84,48.75,73.12,76.49,55.378051,-3.435973,41295
Norway,Europe,3,30,496,490,495,504,69.61,68.43,49.96,59.75,50.52,48.77,72.91,71.51,60.472024,8.468946,101564
Denmark,Europe,3,31,485,487,483,484,71.31,53.8,53.68,67.4,49.28,45.81,73.86,75.63,56.26392,9.501785,57637
Hungary,Europe,3,32,495,486,503,497,68.21,65.39,60.17,70.89,50.19,44.35,73.99,71.8,47.162494,19.503304,12820
United States,America,1,33,497,486,502,503,76.93,71.95,64.12,73.72,48.79,45.98,75.32,76.55,37.09024,-95.712891,51457
Slovak Republic,Europe,3,34,477,486,477,469,74.56,58.85,60.78,68.52,52.93,49.61,73.49,72.03,48.669026,19.699024,17208
Slovenia,Europe,3,35,481,485,496,462,73.42,70.52,63.38,67.29,52.21,44.11,75.12,66.75,46.151241,14.995463,22478
Portugal,Europe,3,36,486,485,487,485,77.39,75.85,61.59,71.9,50.45,46.45,78.72,80.37,39.399872,-8.224454,20578
Russian Federation,Europe,3,37,483,484,486,479,85.95,71.57,76.89,69.31,45.75,41.09,78.04,68.8,61.52401,105.318756,14079
Sweden,Europe,3,38,484,480,486,486,71.02,73.55,53.44,62.26,55.1,49.01,74.9,75.35,60.128161,18.643501,57135
Lithuania,Europe,3,39,485,479,497,478,78.08,58.18,68.32,71.42,45.48,49.48,78.02,77.95,55.169438,23.881275,14343
Croatia,Europe,3,40,482,470,491,485,79.99,57.73,65.96,66.3,52.67,41.71,76.17,72.93,45.1,15.2,13236
Israel,Middle East & Africa,4,41,478,469,474,492,76.23,74.07,58.61,74.47,47.24,44.19,76.69,75.57,31.046051,34.851612,32819
Greece,Europe,3,42,467,454,468,478,77.83,68.54,61.5,74.33,53.96,57.18,78.7,73.28,39.074208,21.824312,22243
Turkey,Europe,3,43,463,449,464,476,73.95,79,68.22,65.62,51.51,60.38,80.48,74.84,38.963745,35.243322,10647
Serbia,Europe,3,44,446,448,444,446,78.95,63.53,70.3,66.61,52.5,64.9,77.27,74.53,44.016521,21.005859,5660
Romania,Europe,3,45,442,446,440,440,79.39,65.53,68.15,73.27,49.08,69.55,79.52,81.02,45.943161,24.96676,8578
Chile,America,1,46,457,445,465,460,81.67,63.92,64.73,71.82,57.93,50.81,77.74,79.12,-35.675147,-71.542969,15254
Bulgaria,Europe,3,47,446,443,451,443,81.06,69.56,75.58,81.31,52.01,57.52,81.1,76.01,42.733883,25.48583,7334
Thailand,Asia,2,48,451,442,457,453,82.32,72.85,76.53,63.64,51.02,44.67,84.3,78.78,15.870032,100.992541,5918
United Arab Emirates,Middle East & Africa,4,49,439,432,446,438,80.7,69.89,73.28,74.94,53.15,47.99,78.12,79.35,23.424076,53.847818,41713
Kazakhstan,Asia,2,50,418,432,427,395,85.04,76.76,83.17,76.47,39.39,52.97,85.63,85.63,48.019573,66.923684,12121
Malaysia,Asia,2,51,415,423,422,401,77,57.15,70.73,69.38,54.13,48.93,79.97,79.32,4.210484,101.975766,10835
Mexico,America,1,52,423,419,420,430,81.57,69.05,66.1,72.22,46.25,46.39,83.38,81.6,23.634501,-102.552784,9704
Uruguay,America,1,53,415,411,419,414,76.86,63.47,67.52,72.61,58.86,50.6,81.19,77.86,-32.522779,-55.765835,15128
Costa Rica,America,1,54,426,407,430,441,80.05,60.83,61.88,63.62,48.06,42.75,80.23,82.24,9.748917,-83.753428,9734
Montenegro,Europe,3,55,412,407,409,420,82.52,70.7,62.39,64.29,47.75,63.25,78.31,76.83,42.708678,19.37439,6587
Argentina,America,1,56,404,396,411,404,77.82,64.03,64.94,70.92,60.79,49.46,78.17,74.88,-38.416097,-63.616672,14358
Albania,Europe,3,57,398,396,400,397,87.19,80.56,80.06,78.12,43.16,69.72,87.15,83.27,41.153332,20.168331,4248
Tunisia,Middle East & Africa,4,58,397,388,398,404,78.04,65.61,68.03,66.11,57.1,65.66,78.19,69.44,33.886917,9.537499,4188
Colombia,America,1,59,404,387,409,415,79.01,71.05,67.27,71.32,49.72,62.69,82.22,81.92,4.570868,-74.297333,7886
Jordan,Middle East & Africa,4,60,395,383,405,396,82.61,74.68,77.3,81.03,56.32,61.35,81.7,73.8,30.585164,36.238414,4897
Brazil,America,1,61,393,383,396,401,80.89,69.4,64.17,72.5,56.18,48.53,80.08,77.79,-14.235004,-51.92528,12158
Qatar,Middle East & Africa,4,62,383,377,384,388,82.42,71.64,70.98,76.76,59.4,56.4,75.39,76.59,25.354826,51.183884,94408
Indonesia,Asia,2,63,386,377,383,398,78.09,71.13,72.76,77.73,50.97,57.15,84.37,81.79,-0.789275,113.921327,3701
Peru,America,1,64,376,368,374,385,79.89,68.3,65.34,74.72,45.91,67.84,82.87,81.1,-9.189967,-75.015152,6389
