Country,Country BM,Country BS,Country BR,Rank,Average,BM,BS,BR,Math,Science,Reading,BM Sets Clear Goals,BM Encourages Thinking,BM Summarizes Lessons,BM Reflect Problems,BM Wait Until its Quiet,BM HW Not Back in Time,BM Express Opinions,BM Teachers Are Interested,BS Sets Clear Goals,BS Encourages Thinking,BS Summarizes Lessons,BS Reflect Problems,BS Wait Until its Quiet,BS HW Not Back in Time,BS Express Opinions,BS Teachers Are Interested,BR Sets Clear Goals,BR Encourages Thinking,BR Summarizes Lessons,BR Reflect Problems,BR Wait Until its Quiet,BR HW Not Back in Time,BR Express Opinions,BR Teachers Are Interested
Austria,France,Austria,United States,22,502,500,508,503,508,508,491,68.82,64.07,62.56,68.98,57.04,52.31,69.83,70.42,69.43,67.74,56.79,62.92,49.08,44.17,67.38,71.66,76.93,71.95,64.12,73.72,48.79,45.98,75.32,76.55
Australia,Latvia,Latvia,Australia,23,502,496,507,501,493,512,501,76.15,73.29,59.63,74.73,49.55,48.64,78.04,80.11,76.15,73.29,59.63,74.73,49.55,48.64,78.04,80.11,71.73,65.3,58.47,68.81,54.53,48.56,73.92,76.46
Latvia,Spain,Spain,United Kingdom,24,500,496,505,499,496,507,496,74.67,59.56,54.72,67.21,53.46,41.1,73.06,73.29,74.67,59.56,54.72,67.21,53.46,41.1,73.06,73.29,73.74,64.6,57.99,71.15,49.84,48.75,73.12,76.49
United Kingdom,Iceland,Switzerland,Switzerland,25,500,494,504,498,490,511,499,78.35,57.35,50.7,64.1,50.39,48.1,77.91,76.55,73.58,70.92,56.16,68.12,49.54,45.85,74.66,73.66,73.58,70.92,56.16,68.12,49.54,45.85,74.66,73.66
Spain,Australia,France,Hungary,26,498,493,503,497,496,505,494,71.73,65.3,58.47,68.81,54.53,48.56,73.92,76.46,68.82,64.07,62.56,68.98,57.04,52.31,69.83,70.42,68.21,65.39,60.17,70.89,50.19,44.35,73.99,71.8
United States,Italy,Hungary,Latvia,27,497,492,503,496,486,502,503,71.31,60.92,54.18,66.82,51.69,43.13,75.94,70.69,68.21,65.39,60.17,70.89,50.19,44.35,73.99,71.8,76.15,73.29,59.63,74.73,49.55,48.64,78.04,80.11
Italy,Luxembourg,United States,Italy,28,496,491,502,496,492,501,496,66.26,67.17,53.73,63.71,51.52,45.4,68.64,69.03,76.93,71.95,64.12,73.72,48.79,45.98,75.32,76.55,71.31,60.92,54.18,66.82,51.69,43.13,75.94,70.69
Norway,United Kingdom,Italy,Spain,29,496,490,501,494,490,495,504,73.74,64.6,57.99,71.15,49.84,48.75,73.12,76.49,71.31,60.92,54.18,66.82,51.69,43.13,75.94,70.69,74.67,59.56,54.72,67.21,53.46,41.1,73.06,73.29
Hungary,Norway,Lithuania,Israel,30,495,490,497,492,486,503,497,69.61,68.43,49.96,59.75,50.52,48.77,72.91,71.51,78.08,58.18,68.32,71.42,45.48,49.48,78.02,77.95,76.23,74.07,58.61,74.47,47.24,44.19,76.69,75.57
Luxembourg,Denmark,Slovenia,Austria,31,490,487,496,491,491,492,488,71.31,53.8,53.68,67.4,49.28,45.81,73.86,75.63,73.42,70.52,63.38,67.29,52.21,44.11,75.12,66.75,69.43,67.74,56.79,62.92,49.08,44.17,67.38,71.66
Portugal,United States,Norway,Luxembourg,32,486,486,495,488,485,487,485,76.93,71.95,64.12,73.72,48.79,45.98,75.32,76.55,69.61,68.43,49.96,59.75,50.52,48.77,72.91,71.51,66.26,67.17,53.73,63.71,51.52,45.4,68.64,69.03
Iceland,Hungary,Luxembourg,Sweden,33,485,486,492,486,494,479,483,68.21,65.39,60.17,70.89,50.19,44.35,73.99,71.8,66.26,67.17,53.73,63.71,51.52,45.4,68.64,69.03,71.02,73.55,53.44,62.26,55.1,49.01,74.9,75.35
Denmark,Slovak Republic,Croatia,Portugal,34,485,486,491,485,487,483,484,74.56,58.85,60.78,68.52,52.93,49.61,73.49,72.03,79.99,57.73,65.96,66.3,52.67,41.71,76.17,72.93,77.39,75.85,61.59,71.9,50.45,46.45,78.72,80.37
Lithuania,Portugal,Portugal,Croatia,35,485,485,487,485,479,497,478,77.39,75.85,61.59,71.9,50.45,46.45,78.72,80.37,77.39,75.85,61.59,71.9,50.45,46.45,78.72,80.37,79.99,57.73,65.96,66.3,52.67,41.71,76.17,72.93
Sweden,Slovenia,Sweden,Denmark,36,484,485,486,484,480,486,486,73.42,70.52,63.38,67.29,52.21,44.11,75.12,66.75,71.02,73.55,53.44,62.26,55.1,49.01,74.9,75.35,71.31,53.8,53.68,67.4,49.28,45.81,73.86,75.63
Russian Federation,Russian Federation,Russian Federation,Iceland,37,483,484,486,483,484,486,479,85.95,71.57,76.89,69.31,45.75,41.09,78.04,68.8,85.95,71.57,76.89,69.31,45.75,41.09,78.04,68.8,78.35,57.35,50.7,64.1,50.39,48.1,77.91,76.55
Croatia,Sweden,Denmark,Russian Federation,38,482,480,483,479,470,491,485,71.02,73.55,53.44,62.26,55.1,49.01,74.9,75.35,71.31,53.8,53.68,67.4,49.28,45.81,73.86,75.63,85.95,71.57,76.89,69.31,45.75,41.09,78.04,68.8
