Country,Continent,GDP,Age,Female,Male,School,PV1MATH,PV1READ,PV1SCIE,ST83Q04,ST83Q03,ST82Q01,ST82Q02,ST82Q03,ST83Q01,ST84Q01,ST84Q03,ST79Q06,ST79Q02,ST80Q01,ST81Q03,ST86Q02,ST79Q01,ST79Q08
South Korea,Asia,24454,15.8,2342,2691,156,554.2284036,536.063023,537.9248577,68.96680622,76.41340114,70.08405884,65.6625601,55.61561562,72.42306543,65.77720986,42.96357616,67.13156325,51.95917759,54.47014925,45.31670152,70.17883756,67.16840537,62.50372578
Spain,Europe,28986,15.9,12690,12623,468,495.3598649,493.7590601,504.0540813,73.05522028,77.81244348,79.6077248,64.95946273,41.09132752,79.50659281,52.85939298,42.31935934,75.50765245,59.55758596,67.20601504,53.45342177,73.28843826,74.66348176,54.71215223
Sweden,Europe,57135,15.8,2378,2358,209,479.152938,485.5920686,485.6399504,74.89953115,78.21392702,68.8973064,78.58823529,49.00169205,74.70735786,59.92076871,43.96697,73.04584433,73.54488655,62.25296443,55.0910596,75.34030544,71.01544528,53.4315339
Switzerland,Europe,83296,15.9,5579,5650,411,520.6722064,497.2430589,503.1140193,74.65386182,74.23666712,76.34148007,68.06352459,45.84643785,72.32397232,55.14354067,42.89477285,73.017218,70.91124661,68.11196859,49.53741497,73.65701074,73.5739389,56.15868506
Taiwan,Asia,39400,15.8,3111,2935,163,557.5768507,521.9257565,522.062074,80.36828964,81.95207189,73.26016463,74.01447106,46.8001497,81.2078862,60.36052894,47.57863205,72.63538807,63.72194514,63.59835247,50.43081918,76.52195609,69.71585244,62.47195213
Thailand,Asia,5480,15.8,3736,2870,239,441.1470911,452.7126675,456.0700294,84.29370151,82.84033805,84.61538462,70.43378995,44.66894977,83.09931507,70.83523766,50.42285714,83.00160146,72.84197305,63.63376088,51.0137457,78.77423033,82.31401187,76.52362474
Tunisia,Middle East & Africa,4198,15.9,2390,2017,153,387.2797449,403.7915029,397.4190073,78.18264014,84.07360406,60.86035372,59.40621532,65.65394591,88.45529921,61.66482097,52.07484253,76.66133618,65.60503903,66.10215054,57.0970696,69.43731672,78.03137117,68.02016985
Turkey,Europe,10661,15.9,2370,2478,170,448.8336183,475.5617791,463.8777535,80.47341931,80.67537783,71.15384615,68.04196908,60.37066246,86.00722816,59.1362916,49.75443599,79.22568461,78.9974819,65.61516677,51.50868878,74.83531995,73.94421683,68.21821036
United Arab Emirates,Middle East & Africa,40445,15.9,5792,5708,458,431.373626,437.2399506,445.0891291,78.11006418,84.45558739,82.45758073,74.59201865,47.98846629,86.72418497,65.26972958,49.58563536,84.88136964,69.88048879,74.93240503,53.14125376,79.34335117,80.6952266,73.27099031
United Kingdom,Europe,41051,15.8,6308,6351,468,489.6455449,498.2923096,510.043154,73.11635525,83.34545014,74.51004261,72.9047387,48.74113909,83.12265634,53.04321363,38.39285714,79.90273079,64.59467635,71.14827336,49.83385694,76.4821775,73.73990112,57.98007246
United States,America,51457,15.9,5142,5152,162,485.6322601,502.8233128,501.42074,75.31437126,83.3694515,79.45867026,68.22994893,45.97053075,80.49626866,53.23962718,38.55785186,80.85827006,71.94560048,73.71153272,48.78717333,76.54534516,76.92964227,64.11992263
Uruguay,South America,15135,15.8,2826,2489,180,410.957687,413.5739679,418.0868953,81.18222892,82.92019347,83.99056029,75.93730793,50.59395248,78.42857143,62.1277249,48.31373762,77.3066587,63.46555324,72.6088244,58.85401021,77.85800241,76.85294118,67.51336898
Vietnam,Asia,1756,15.8,2648,2311,162,510.5899667,508.259166,528.1579482,87.26872915,77.58201701,85.65151515,73.40006066,40.77669903,81.8092205,68.7651699,41.0437557,79.0271011,61.17343845,70.16398421,42.66626177,73.09206541,85.99909036,72.48332323
